YIL,AY,ILCE,MAHALLE,ABONELIK_GRUBU,ABONELIK_TURU,ABONE_TIPI,ABONE_ADEDI,ORTALAMA_TUKETIM
2021,11,FOÇA,FEVZİ ÇAKMAK,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,17,74.0
2023,11,ALİAĞA,FATİH,Konut,Su,KONUT (S),1,7.0
2022,9,BALÇOVA,FEVZİ ÇAKMAK,Konut,Su,KONUT (S),12,155.0
2020,7,TORBALI,ÇAYBAŞI,Konut,Su,ŞEHİT GAZİ,3,39.0
2021,5,ÇEŞME,FAHRETTİNPAŞA,Konut Dışı,Su,İNŞAAT (ŞANTİYE),3,38.0
2020,1,NARLIDERE,ÇAMTEPE,Konut Dışı,Su,FIRIN HAMAM ABONELERİ,3,41.0
2020,10,DİKİLİ,UZUNBURUN,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,35,3306.0
2023,1,KARŞIYAKA,BAHRİYE ÜÇOK,Konut,Su,KONUT (S),3,25.0
2020,11,SEFERİHİSAR,AKARCA,Konut Dışı,Su,İNŞAAT (ŞANTİYE),12,174.0
2021,5,MENEMEN,VİLLAKENT,Konut Dışı,Su,İNŞAAT (ŞANTİYE),15,566.0
2024,1,NARLIDERE,ATATÜRK,Konut,Su,KONUT (AFET),2,22.0
2020,9,URLA,YAĞCILAR,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,2,172.0
2023,9,TORBALI,TORBALI,Konut,Atıksu,KUYU ATIK SU KONUT,1,184.0
2021,5,TORBALI,ATATÜRK,Konut,Su,E.A.,72,1342.0
2021,3,ÇİĞLİ,İNÖNÜ,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,2.0
2022,1,KARABAĞLAR,ŞEHİTLER,Konut,Su,KONUT,860,9374.0
2024,4,NARLIDERE,ATATÜRK,Konut,Su,KONUT (AFET),1,16.0
2022,4,KINIK,CUMALI,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,139,1719.0
2020,8,BALÇOVA,EĞİTİM,Konut,Su,E.A.,209,2936.0
2022,10,GAZİEMİR,GAZİKENT,Konut Dışı,Su,RESMİ DAİRE,1,113.0
2023,12,GAZİEMİR,GAZİ,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,6.0
2022,7,URLA,BARBAROS,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,253,8412.0
2024,9,SELÇUK,GÖKÇEALAN,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,4,194.0
